id,cnpj,email,telefone,cep,endereço,tipo_de_usuário,senha
1,"13.715.139/3989-15","bioenergianordeste@empresa.com.br","(88) 91395-3439","70399-696","Rua das Flores-1192","vendedor_de_biomassa","123456"
2,"45.854.199/7779-81","ecopowerbrasil@empresa.com.br","(79) 92062-8836","60912-658","Avenida Atlântica-8737","produtor_de_energia","123456"
3,"71.467.532/1509-22","carboncredithub@empresa.com.br","(21) 93169-8213","88066-645","Travessa Aurora-313","comprador_de_credito","123456"
4,"68.425.569/2799-69","verdefuel@empresa.com.br","(40) 92435-9976","76757-542","Rua do Comércio-4808","vendedor_de_biomassa","123456"
5,"42.524.128/5102-51","solargridtech@empresa.com.br","(13) 99679-1331","68782-266","Rua das Flores-4747","produtor_de_energia","123456"
6,"81.692.568/5497-39","bioheatsolutions@empresa.com.br","(38) 97127-2899","72913-297","Rua Verde-214","vendedor_de_biomassa","123456"
7,"97.376.356/5123-83","energialimpasa@empresa.com.br","(33) 93161-3201","96143-886","Rua Verde-9871","produtor_de_energia","123456"
8,"80.993.644/8279-26","greentradecorp@empresa.com.br","(25) 90514-8334","18085-836","Avenida Brasil-5464","comprador_de_credito","123456"
9,"53.641.901/9823-66","florestaviva@empresa.com.br","(67) 91047-7863","95455-900","Avenida Brasil-4191","vendedor_de_biomassa","123456"
10,"97.721.761/6294-75","usinahorizonte@empresa.com.br","(26) 97591-5712","13816-521","Avenida Brasil-2657","produtor_de_energia","123456"
11,"31.413.605/4167-82","creditoverdeltda@empresa.com.br","(78) 92170-7032","68449-631","Rua do Sol-8081","comprador_de_credito","123456"
12,"98.811.824/7970-15","biomaxenergia@empresa.com.br","(98) 91893-6458","10212-575","Rua da Energia-7635","vendedor_de_biomassa","123456"
13,"59.577.533/2101-90","powerrenew@empresa.com.br","(36) 94159-7869","29094-156","Rua Verde-1056","produtor_de_energia","123456"
14,"44.765.381/5497-41","ecocarbon@empresa.com.br","(41) 90790-2626","11790-812","Rua da Energia-5308","comprador_de_credito","123456"
15,"67.609.673/7978-44","madeirasustentável@empresa.com.br","(16) 91528-7133","58549-427","Rua das Palmeiras-7382","vendedor_de_biomassa","123456"
16,"64.724.266/4873-18","energiadofuturo@empresa.com.br","(56) 92657-7939","39666-900","Rua do Sol-374","produtor_de_energia","123456"
17,"69.245.786/8234-27","carbonxmarket@empresa.com.br","(55) 96175-5085","78103-797","Avenida Central-6965","comprador_de_credito","123456"
18,"80.329.848/3418-17","bioforestgroup@empresa.com.br","(49) 98443-7333","64600-356","Avenida Brasil-4731","vendedor_de_biomassa","123456"
19,"38.518.789/1037-87","voltenergia@empresa.com.br","(92) 99714-9830","26666-850","Avenida Atlântica-7882","produtor_de_energia","123456"
20,"38.293.769/3380-29","neutralizacarbono@empresa.com.br","(28) 99560-8442","55348-737","Avenida Brasil-9524","comprador_de_credito","123456"
21,"000.000.000/0000-00","lucena","(28) 99560-8442","55348-737","Avenida Brasil-9524","admin","123456"
